City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
140,Flinders,AU,-34.5833,150.8552,67.21,91,97,4.0,overcast clouds,2022-01-23 20:13:47
141,Yumen,CN,40.2833,97.2,18.68,53,7,2.57,clear sky,2022-01-23 20:15:13
142,Cap Malheureux,MU,-19.9842,57.6142,81.09,84,85,1.99,overcast clouds,2022-01-23 20:15:13
143,Bengkulu,ID,-3.8004,102.2655,74.97,91,65,4.03,broken clouds,2022-01-23 20:15:14
144,Hong Kong,HK,22.2855,114.1577,67.32,92,72,2.39,broken clouds,2022-01-23 20:11:41
145,Sisimiut,GL,66.9395,-53.6735,14.56,94,100,15.77,snow,2022-01-23 20:15:14
146,San Vicente,AR,-26.6167,-54.1333,88.99,43,92,6.44,overcast clouds,2022-01-23 20:15:14
147,Aklavik,CA,68.2191,-135.0107,2.23,78,75,4.61,broken clouds,2022-01-23 20:15:15
148,Pindi Gheb,PK,33.2402,72.2661,49.6,90,100,8.1,overcast clouds,2022-01-23 20:15:15
149,Pangody,RU,65.85,74.4859,-9.26,100,98,6.8,overcast clouds,2022-01-23 20:15:15
150,Nador,MA,35.174,-2.9287,57.45,72,40,8.05,scattered clouds,2022-01-23 20:15:16
151,Kahului,US,20.8947,-156.47,81.66,76,20,14.97,few clouds,2022-01-23 20:10:37
152,Lazurne,UA,46.084,32.5295,29.79,91,94,18.12,light snow,2022-01-23 20:15:16
153,Longyearbyen,SJ,78.2186,15.6401,17.44,79,20,16.11,few clouds,2022-01-23 20:15:16
154,Vostok,RU,46.4856,135.8833,-17.05,99,92,4.29,overcast clouds,2022-01-23 20:15:17
155,Clarence Town,AU,-32.5833,151.7833,68.86,94,90,1.45,overcast clouds,2022-01-23 20:15:17
156,Katherine,AU,-14.4667,132.2667,79.12,94,100,5.75,overcast clouds,2022-01-23 20:15:17
157,Sinjai,ID,-5.1241,120.253,75.97,82,100,5.48,overcast clouds,2022-01-23 20:15:17
158,Lorengau,PG,-2.0226,147.2712,82.47,78,92,10.83,heavy intensity rain,2022-01-23 20:15:18
159,Nuuk,GL,64.1835,-51.7216,23.61,58,75,10.36,light snow,2022-01-23 20:15:18
160,Geraldton,AU,-28.7667,114.6,72.01,83,0,12.66,clear sky,2022-01-23 20:15:18
161,Chokurdakh,RU,70.6333,147.9167,-22.85,100,100,6.53,overcast clouds,2022-01-23 20:15:19
162,Nipawin,CA,53.3668,-104.0009,5.04,85,100,12.66,overcast clouds,2022-01-23 20:15:19
163,Conakry,GN,9.538,-13.6773,80.78,68,44,9.71,scattered clouds,2022-01-23 20:12:06
164,Pochutla,MX,15.7432,-96.4661,90.82,42,1,9.51,clear sky,2022-01-23 20:15:19
165,Pāsighāt,IN,28.0667,95.3333,57.85,60,86,2.77,overcast clouds,2022-01-23 20:15:20
166,Tiarei,PF,-17.5333,-149.3333,84.22,78,45,15.52,scattered clouds,2022-01-23 20:15:20
167,Lompoc,US,34.6391,-120.4579,72.19,53,0,6.91,clear sky,2022-01-23 20:15:20
168,Baharly,TM,38.4362,57.4316,39.52,43,11,7.76,few clouds,2022-01-23 20:15:21
169,Hermanus,ZA,-34.4187,19.2345,68.9,92,36,6.29,scattered clouds,2022-01-23 20:15:21
170,Torbat-e Jām,IR,35.244,60.6225,34.75,50,0,2.42,clear sky,2022-01-23 20:15:22
171,Hualmay,PE,-11.0964,-77.6139,76.05,75,62,10.56,broken clouds,2022-01-23 20:15:22
172,Saint-Philippe,RE,-21.3585,55.7679,80.19,83,32,9.8,scattered clouds,2022-01-23 20:15:23
173,Puerto del Rosario,ES,28.5004,-13.8627,65.95,82,20,4.61,few clouds,2022-01-23 20:15:23
174,La Roche-sur-Yon,FR,46.6667,-1.4333,36.95,93,75,8.05,broken clouds,2022-01-23 20:15:23
175,Shelburne,CA,44.0787,-80.2041,14.56,68,100,9.06,overcast clouds,2022-01-23 20:15:24
176,Sørland,NO,67.667,12.6934,46.47,86,100,54.58,light rain,2022-01-23 20:15:24
177,Kavieng,PG,-2.5744,150.7967,81.68,73,34,4.21,light rain,2022-01-23 20:15:24
178,Port Elizabeth,ZA,-33.918,25.5701,72.1,88,0,8.05,clear sky,2022-01-23 20:15:25
179,Souillac,MU,-20.5167,57.5167,80.98,83,40,4.61,scattered clouds,2022-01-23 20:15:25
180,Chui,UY,-33.6971,-53.4616,78.42,84,94,13.13,overcast clouds,2022-01-23 20:16:25
181,Umba,RU,66.6871,34.3429,32.25,95,100,14.56,overcast clouds,2022-01-23 20:16:26
182,Tegul'det,RU,57.3064,88.1667,-5.39,100,99,1.54,overcast clouds,2022-01-23 20:16:26
183,Masuri,KR,35.8488,128.1492,38.7,90,91,3.2,overcast clouds,2022-01-23 20:16:26
184,Ambovombe,MG,-25.1667,46.0833,74.19,87,100,21.72,light rain,2022-01-23 20:16:27
185,Keokuk,US,40.3973,-91.3849,24.22,68,0,10.36,clear sky,2022-01-23 20:11:40
186,Aksarka,RU,66.5606,67.7975,1.49,97,70,10.58,broken clouds,2022-01-23 20:16:27
187,Gazli,UZ,40.1333,63.45,33.21,70,0,9.8,clear sky,2022-01-23 20:16:28
188,Ko Samui,TH,9.5357,99.9357,80.33,73,47,8.16,scattered clouds,2022-01-23 20:16:28
189,Thongwa,MM,16.7619,96.5278,73.56,65,8,4.65,clear sky,2022-01-23 20:16:28
190,Mount Gambier,AU,-37.8333,140.7667,69.49,40,58,4.81,broken clouds,2022-01-23 20:16:29
191,Camacha,PT,33.0833,-16.3333,61.56,72,40,5.75,scattered clouds,2022-01-23 20:16:29
192,Salalah,OM,17.0151,54.0924,71.69,18,0,11.5,clear sky,2022-01-23 20:16:29
193,Chinsali,ZM,-10.5414,32.0816,60.35,96,58,3.85,broken clouds,2022-01-23 20:16:30
194,Cherskiy,RU,68.75,161.3,-32.19,96,100,4.16,overcast clouds,2022-01-23 20:16:30
