City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Normandin,CA,2022-01-20 21:34:05,48.8333,-72.5321,-7.47,54,96,10.36
109,Koungheul,SN,2022-01-20 21:34:05,13.9833,-14.8,81.43,16,1,8.79
110,Vaini,TO,2022-01-20 21:34:06,-21.2,-175.2,81.64,80,5,16.87
111,Leningradskiy,RU,2022-01-20 21:34:06,69.3833,178.4167,-34.38,92,8,2.77
112,Hithadhoo,MV,2022-01-20 21:34:07,-0.6,73.0833,81.73,73,100,5.7
113,Talnakh,RU,2022-01-20 21:34:07,69.4865,88.3972,13.21,95,100,15.46
114,Norman Wells,CA,2022-01-20 21:34:07,65.282,-126.8329,-11.16,70,100,14.97
115,Pevek,RU,2022-01-20 21:34:07,69.7008,170.3133,-35.81,96,18,1.77
116,Vanimo,PG,2022-01-20 21:34:08,-2.6741,141.3028,78.22,87,87,2.86
117,Nikolskoye,RU,2022-01-20 21:34:08,59.7035,30.7861,31.89,95,81,6.02
118,Plettenberg Bay,ZA,2022-01-20 21:34:08,-34.0527,23.3716,69.69,84,90,5.01
119,Madisonville,US,2022-01-20 21:34:09,37.3281,-87.4989,25.03,53,99,4.0
120,Tomatlan,MX,2022-01-20 21:34:09,19.9333,-105.25,87.13,31,100,5.08
121,Darab,IR,2022-01-20 21:34:09,28.7519,54.5444,43.3,73,1,2.66
122,Kargat,RU,2022-01-20 21:34:10,55.1956,80.2811,-6.83,100,97,3.89
123,Mudanjiang,CN,2022-01-20 21:34:10,44.5833,129.6,-15.11,99,23,2.33
124,Hambantota,LK,2022-01-20 21:34:11,6.1241,81.1185,70.14,100,20,2.3
125,Auki,SB,2022-01-20 21:34:11,-8.7676,160.7034,76.01,93,100,3.69
126,Mar Del Plata,AR,2022-01-20 21:34:11,-38.0023,-57.5575,73.09,93,100,5.01
127,Padang,ID,2022-01-20 21:34:12,-0.9492,100.3543,76.53,80,100,4.18
128,Dezhou,CN,2022-01-20 21:34:12,37.4486,116.2925,21.58,74,92,5.39
129,Castro,BR,2022-01-20 21:34:13,-24.7911,-50.0119,69.71,84,75,2.98
130,Atuona,PF,2022-01-20 21:34:13,-9.8,-139.0333,78.8,76,45,23.47
131,Mae Sai,TH,2022-01-20 21:34:13,20.4335,99.8762,63.72,98,54,0.94
132,Bandarbeyla,SO,2022-01-20 21:34:13,9.4942,50.8122,75.6,74,24,14.65
133,Mendi,PG,2022-01-20 21:34:14,-6.1761,143.6513,58.64,91,95,0.67
134,Brigantine,US,2022-01-20 21:35:14,39.4101,-74.3646,34.07,88,100,11.5
135,Port Elizabeth,ZA,2022-01-20 21:35:14,-33.918,25.5701,73.09,88,0,23.02
