City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
108,Arraial do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
110,Venado Tuerto,AR,86.61,overcast clouds,-33.7456,-61.9688,Hotel - Miro Park
115,Young,UY,83.53,overcast clouds,-32.6833,-57.6333,Posada Gira el Sol
117,Mackay,AU,73.69,overcast clouds,-21.15,149.2,International Lodge Motel
121,Cabo San Lucas,MX,75.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
122,Ambon City,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
130,Rio Grande,BR,87.91,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
136,Cidreira,BR,82.15,broken clouds,-30.1811,-50.2056,Hotel Castelo
137,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
142,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
143,Bengkulu,ID,74.97,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
146,San Vicente,AR,88.99,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
151,Kahului,US,81.66,few clouds,20.8947,-156.47,Maui Seaside Hotel
156,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
157,Sinjai,ID,75.97,overcast clouds,-5.1241,120.253,Wisma Sandika
158,Lorengau,PG,82.47,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
160,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
163,Conakry,GN,80.78,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
166,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
167,Lompoc,US,72.19,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
171,Hualmay,PE,76.05,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
172,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
177,Kavieng,PG,81.68,light rain,-2.5744,150.7967,Nusa Island Retreat
178,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
179,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
180,Chui,UY,78.42,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
184,Ambovombe,MG,74.19,light rain,-25.1667,46.0833,RELAHARA
188,Ko Samui,TH,80.33,scattered clouds,9.5357,99.9357,The Passage
189,Thongwa,MM,73.56,clear sky,16.7619,96.5278,U Poe Sann
192,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
195,Morondava,MG,85.5,overcast clouds,-20.2833,44.2833,La Case Bambou
196,Bandarbeyla,SO,75.11,clear sky,9.4942,50.8122,JABIR HOTEL
202,Payakumbuh,ID,70.25,overcast clouds,-0.2202,100.6308,Dalimo Homestay
203,San Andrés,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
205,Itaituba,BR,80.76,broken clouds,-4.2761,-55.9836,Hotel Campos
206,São João da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
207,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
211,Lisala,CD,78.58,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
213,Guerrero,MX,81.19,broken clouds,17.6667,-100.0,Villaxochilt
